"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2000","User login with wrong email or password","LMS system","Wed Feb 18 19:12:03 UTC 2026","passed","Wed Feb 18 19:12:05 UTC 2026","Authorization","Authentication","",""
"","4256","Edit course","LMS system","Wed Feb 18 19:12:32 UTC 2026","passed","Wed Feb 18 19:12:36 UTC 2026","Courses","Courses","",""
"","1914","Check displaying of dashboard page","LMS system","Wed Feb 18 19:12:37 UTC 2026","passed","Wed Feb 18 19:12:39 UTC 2026","Dashboard","Dashboard","",""
"","2020","User login with wrong email or password","LMS system","Wed Feb 18 19:12:03 UTC 2026","passed","Wed Feb 18 19:12:05 UTC 2026","Authorization","Authentication","",""
"","3215","User login with correct email and password","LMS system","Wed Feb 18 19:12:20 UTC 2026","passed","Wed Feb 18 19:12:23 UTC 2026","Authorization","Authentication","",""
"","1821","User login with wrong email or password","LMS system","Wed Feb 18 19:12:18 UTC 2026","passed","Wed Feb 18 19:12:19 UTC 2026","Authorization","Authentication","",""
"","1542","Check displaying of empty courses list","LMS system","Wed Feb 18 19:12:24 UTC 2026","passed","Wed Feb 18 19:12:26 UTC 2026","Courses","Courses","",""
"","2411","Create course","LMS system","Wed Feb 18 19:12:27 UTC 2026","passed","Wed Feb 18 19:12:30 UTC 2026","Courses","Courses","",""
"","1945","Registration with correct email, username and password","LMS system","Wed Feb 18 19:12:20 UTC 2026","passed","Wed Feb 18 19:12:22 UTC 2026","Registration","Authentication","",""
"","2726","User login with wrong email or password","LMS system","Wed Feb 18 19:12:12 UTC 2026","passed","Wed Feb 18 19:12:14 UTC 2026","Authorization","Authentication","",""
"","1271","User login with wrong email or password","LMS system","Wed Feb 18 19:12:06 UTC 2026","passed","Wed Feb 18 19:12:07 UTC 2026","Authorization","Authentication","",""
"","2968","Edit course","LMS system","Wed Feb 18 19:12:28 UTC 2026","passed","Wed Feb 18 19:12:31 UTC 2026","Courses","Courses","",""
"","4575","User login with correct email and password","LMS system","Wed Feb 18 19:12:12 UTC 2026","passed","Wed Feb 18 19:12:16 UTC 2026","Authorization","Authentication","",""
"","2117","Registration with correct email, username and password","LMS system","Wed Feb 18 19:12:23 UTC 2026","passed","Wed Feb 18 19:12:26 UTC 2026","Registration","Authentication","",""
"","1356","Check displaying of empty courses list","LMS system","Wed Feb 18 19:12:27 UTC 2026","passed","Wed Feb 18 19:12:28 UTC 2026","Courses","Courses","",""
"","1505","Navigation from login page to registration page","LMS system","Wed Feb 18 19:12:19 UTC 2026","passed","Wed Feb 18 19:12:20 UTC 2026","Authorization","Authentication","",""
"","3395","Create course","LMS system","Wed Feb 18 19:12:31 UTC 2026","passed","Wed Feb 18 19:12:34 UTC 2026","Courses","Courses","",""
"","2008","Check displaying of dashboard page","LMS system","Wed Feb 18 19:12:35 UTC 2026","passed","Wed Feb 18 19:12:37 UTC 2026","Dashboard","Dashboard","",""
"","2229","User login with wrong email or password","LMS system","Wed Feb 18 19:12:15 UTC 2026","passed","Wed Feb 18 19:12:17 UTC 2026","Authorization","Authentication","",""
"","1561","Navigation from login page to registration page","LMS system","Wed Feb 18 19:12:16 UTC 2026","passed","Wed Feb 18 19:12:18 UTC 2026","Authorization","Authentication","",""
