"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6486","Edit course","LMS system","2026-02-17","passed","2026-02-17","Courses","Courses","",""
"","4017","User login with correct email and password","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","1484","User login with wrong email or password","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","2350","Registration with correct email, username and password","LMS system","2026-02-17","passed","2026-02-17","Registration","Authentication","",""
"","2109","User login with wrong email or password","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","3431","Edit course","LMS system","2026-02-17","passed","2026-02-17","Courses","Courses","",""
"","1510","Navigation from login page to registration page","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","1527","Check displaying of empty courses list","LMS system","2026-02-17","passed","2026-02-17","Courses","Courses","",""
"","2768","Create course","LMS system","2026-02-17","passed","2026-02-17","Courses","Courses","",""
"","4442","Create course","LMS system","2026-02-17","passed","2026-02-17","Courses","Courses","",""
"","2424","Check displaying of empty courses list","LMS system","2026-02-17","passed","2026-02-17","Courses","Courses","",""
"","1771","Navigation from login page to registration page","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","2878","User login with wrong email or password","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","3216","Registration with correct email, username and password","LMS system","2026-02-17","passed","2026-02-17","Registration","Authentication","",""
"","2801","User login with wrong email or password","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","2817","User login with wrong email or password","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","2049","User login with wrong email or password","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
"","3291","Check displaying of dashboard page","LMS system","2026-02-17","passed","2026-02-17","Dashboard","Dashboard","",""
"","2164","Check displaying of dashboard page","LMS system","2026-02-17","passed","2026-02-17","Dashboard","Dashboard","",""
"","6679","User login with correct email and password","LMS system","2026-02-17","passed","2026-02-17","Authorization","Authentication","",""
